Airspeed_mps,Direction,T90_s,p_avg_90_deg_s,p_op_max_deg_s,AlphaMax_deg,BetaMax_deg,Limit
10,RIGHT,1.62,55.5555555555556,67.5840848903638,4.91713615295534,57.4525491289153,ANGLE_COMPLETE
10,LEFT,1.93,46.6321243523316,54.6769442809492,4.98040424160472,63.8345103730562,ANGLE_COMPLETE
13,RIGHT,1.22,73.7704918032787,87.7278682057334,4.93432883690614,33.6639463437701,ANGLE_COMPLETE
13,LEFT,1.49,60.4026845637584,70.9186686055656,4.99555804531108,42.3498739732227,ANGLE_COMPLETE
16,RIGHT,0.965,93.2642487046632,107.847022707561,4.95865241940856,16.1154407665328,ANGLE_COMPLETE
16,LEFT,1.185,75.9493670886076,87.1461978961236,4.96386376383523,21.1478972882275,ANGLE_COMPLETE
