time_s,roll_deg,p_deg_s,pitch_deg,flight_path_deg,q_deg_s,yaw_deg,r_deg_s,airspeed_mps,alpha_deg,beta_deg,aileron_left_deg,aileron_right_deg,elevator_deg,rudder_deg,pwm_left_us,pwm_right_us,pwm_elevator_us,pwm_rudder_us
0,0,0,15,14.6068196425192,0,0,0,13,0.393180357480759,0,0,0,10,0,1410,1410,1007,1410
0.005,0,0,14.992579443543,14.6326804032276,-2.95121370325863,0,0,12.9876499088835,0.359899040315398,0,0,0,10,0,1410,1410,1007,1410
0.01,0,0,14.9706566498607,14.6557860868466,-5.80116205979695,0,0,12.9752903784212,0.314870563014098,0,0,0,10,0,1410,1410,1007,1410
0.015,0,0,14.93473387654,14.6758366631562,-8.55148441221213,0,0,12.9629260984307,0.258897213383758,0,0,0,10,0,1410,1410,1007,1410
0.02,0,0,14.8853050156812,14.692555782564,-11.2038863475445,0,0,12.9505618203891,0.192749233117227,0,0,0,10,0,1410,1410,1007,1410
0.025,0,0,14.8228552555128,14.7056918473714,-13.7601476866451,0,0,12.9382763867941,0.117163408141412,0,0,0,10,0,1410,1410,1007,1410
0.03,0,0,14.7478607304929,14.7150125853656,-16.2220984545787,0,0,12.926000580685,0.0328481451272949,0,0,0,10,0,1410,1410,1007,1410
0.035,0,0,14.6607883633273,14.7203064118007,-18.5915977269085,0,0,12.9137392719456,-0.0595180484733764,0,0,0,10,0,1410,1410,1007,1410
0.04,0,0,14.5620956813473,14.7213814293238,-20.8705435580674,0,0,12.9014973506979,-0.159285747976578,0,0,0,10,0,1410,1410,1007,1410
0.045,0,0,14.4522306351673,14.7180644995953,-23.06086790263,0,0,12.8892842017648,-0.265833864427917,0,0,0,10,0,1410,1410,1007,1410
0.05,0,0,14.3316314435602,14.7102004469643,-25.164530039989,0,0,12.8771002459634,-0.378569003404131,0,0,0,10,0,1410,1410,1007,1410
0.055,0,0,14.2007264744951,14.6976509658244,-27.1835104659536,0,0,12.8649503840211,-0.496924491329294,0,0,0,10,0,1410,1410,1007,1410
0.06,0,0,14.0599341485669,14.6802938881373,-29.1198068298044,0,0,12.8528395054422,-0.620359739570406,0,0,0,10,0,1410,1410,1007,1410
0.065,0,0,13.909662863561,14.6580221842411,-30.9754301419801,0,0,12.8407773874397,-0.748359320680078,0,0,0,10,0,1410,1410,1007,1410
0.07,0,0,13.7503109389502,14.6307438183118,-32.7523994022859,0,0,12.8287639716391,-0.880432879361554,0,0,0,10,0,1410,1410,1007,1410
0.075,0,0,13.5822665907284,14.5983802180176,-34.4527366563669,0,0,12.8168040767034,-1.0161136272892,0,0,0,10,0,1410,1410,1007,1410
0.08,0,0,13.4059079227633,14.5608658312335,-36.0784640903939,0,0,12.8049024868712,-1.15495790847017,0,0,0,10,0,1410,1410,1007,1410
0.085,0,0,13.2216029337792,14.5181470268854,-37.631601269316,0,0,12.7930688131116,-1.29654409310625,0,0,0,10,0,1410,1410,1007,1410
0.09,0,0,13.0297095391009,14.4701826642893,-39.114160889341,0,0,12.7813028903472,-1.44047312518839,0,0,0,10,0,1410,1410,1007,1410
0.095,0,0,12.8305756169119,14.4169420614007,-40.5281449068743,0,0,12.7696093727632,-1.58636644448881,0,0,0,10,0,1410,1410,1007,1410
0.1,0,0,12.6245390663203,14.3584048510948,-41.8755425354037,0,0,12.7579928635255,-1.7338657847745,0,0,0,10,0,1410,1410,1007,1410
0.105,0,0,12.4119278765226,14.2945597657715,-43.1583283507286,0,0,12.7464627072197,-1.8826318892488,0,0,0,10,0,1410,1410,1007,1410
0.11,0,0,12.1930602063735,14.2254059453858,-44.3784590034894,0,0,12.7350185989224,-2.03234573901228,0,0,0,10,0,1410,1410,1007,1410
0.115,0,0,11.9682444834693,14.1509503636882,-45.5378702585038,0,0,12.7236649701513,-2.18270588021886,0,0,0,10,0,1410,1410,1007,1410
0.12,0,0,11.7377795111184,14.0712079884038,-46.6384757384243,0,0,12.7124061899979,-2.33342847728541,0,0,0,10,0,1410,1410,1007,1410
0.125,0,0,11.5019545826478,13.9862004456911,-47.682165744171,0,0,12.701251255524,-2.48424586304337,0,0,0,10,0,1410,1410,1007,1410
0.13,0,0,11.2610496025126,13.8959580487479,-48.6708047751266,0,0,12.6901997114225,-2.63490844623532,0,0,0,10,0,1410,1410,1007,1410
0.135,0,0,11.0153352226862,13.8005166826766,-49.6062293296166,0,0,12.6792557272676,-2.78518145999037,0,0,0,10,0,1410,1410,1007,1410
0.14,0,0,10.7650729837331,13.6999182577441,-50.4902472538397,0,0,12.6684234028113,-2.93484527401093,0,0,0,10,0,1410,1410,1007,1410
0.145,0,0,10.5105154601591,13.5942092606737,-51.3246371403044,0,0,12.657711323856,-3.0836938005146,0,0,0,10,0,1410,1410,1007,1410
0.15,0,0,10.2519064096424,13.4834434497341,-52.1111465171403,0,0,12.6471188889454,-3.23153704009166,0,0,0,10,0,1410,1410,1007,1410
