Time_s,Axis,Event,State,Action,Surface_deg,P_slew,D_slew,FF_single,FF,P,I,D,RMAX,TAU
5.439988,roll,ATRP_LOG_START,IDLE,NONE,-0.0944945812225342,0.2332663834095,0.0102144535630941,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,55,0.585349977016449
10.119988,roll,POSITIVE_EXCITATION_START,DEMAND_POS,NONE,2.22819423675537,3.96748423576355,0.641488194465637,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,55,0.585349977016449
11.279988,roll,EXCITATION_END,IDLE,NONE,1.14268958568573,4.86861944198608,2.4020414352417,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,55,0.585349977016449
11.319988,roll,LOWER_PD;PARAMETER_UPDATE,IDLE,LOWER_PD,1.09866404533386,3.2377393245697,1.40530252456665,0.380231708288193,0.336000025272369,0.0294174998998642,0.0294174998998642,0.0010762499878183,35,0.673152446746826
12.959988,roll,NEGATIVE_EXCITATION_START,DEMAND_NEG,LOWER_PD,-2.19587802886963,3.81236481666565,1.44120132923126,0.380231708288193,0.336000025272369,0.0294174998998642,0.0294174998998642,0.0010762499878183,35,0.673152446746826
