mavpackettype,TimeUS,Axis,State,Sur,PSlew,DSlew,FF0,FF,P,I,D,Action,RMAX,TAU,ap_time_s
ATRP,5439988,0,0,-0.09449458122253418,0.23326638340950012,0.010214453563094139,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,5.439988
ATRP,5479988,0,0,-0.06821130216121674,0.6721804141998291,0.03127237409353256,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,5.479988
ATRP,5519988,0,0,-0.01966664381325245,1.076683521270752,0.05306779593229294,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,5.519988
ATRP,5559988,0,0,0.0447407141327858,1.4494736194610596,0.07315445691347122,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,5.559988
ATRP,5599988,0,0,0.1187833771109581,1.7930368185043335,0.09204153716564178,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,5.599988
ATRP,5639988,0,0,0.1972837746143341,2.1097748279571533,0.10944786667823792,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,5.639988
ATRP,5679988,0,0,0.2786937952041626,2.4031925201416016,0.12548954784870148,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,5.679988
ATRP,5719988,0,0,0.35829678177833557,2.6798720359802246,0.1402735561132431,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,5.719988
ATRP,5759988,0,0,0.4351676404476166,2.933213949203491,0.15369421243667603,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,5.759988
ATRP,5799988,0,0,0.5068411231040955,3.152374267578125,0.16527797281742096,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,5.799988
ATRP,5839988,0,0,0.5715131759643555,3.340912342071533,0.17519991099834442,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,5.839988
ATRP,5879988,0,0,0.6300429701805115,3.498784065246582,0.18362018465995789,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,5.879988
ATRP,5919988,0,0,0.6811277866363525,3.629638910293579,0.19054710865020752,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,5.919988
ATRP,5959988,0,0,0.725155770778656,3.735647439956665,0.196086585521698,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,5.959988
ATRP,5999988,0,0,0.7630341053009033,3.818702459335327,0.2003808319568634,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,5.999988
ATRP,6039988,0,0,0.7958149909973145,3.881183624267578,0.20355956256389618,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,6.039988
ATRP,6079988,0,0,0.8246462345123291,3.9252607822418213,0.20574110746383667,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,6.079988
ATRP,6119988,0,0,0.8507029414176941,3.952911615371704,0.20703324675559998,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,6.119988
