Time_s,Axis,StateValue,State,Surface_deg,P_slew,D_slew,FF_single,FF,P,I,D,ActionValue,Action,RMAX,TAU
5.439988,roll,0,IDLE,-0.0944945812225342,0.2332663834095,0.0102144535630941,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.479988,roll,0,IDLE,-0.0682113021612167,0.672180414199829,0.0312723740935326,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.519988,roll,0,IDLE,-0.0196666438132524,1.07668352127075,0.0530677959322929,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.559988,roll,0,IDLE,0.0447407141327858,1.44947361946106,0.0731544569134712,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.599988,roll,0,IDLE,0.118783377110958,1.79303681850433,0.0920415371656418,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.639988,roll,0,IDLE,0.197283774614334,2.10977482795715,0.109447866678238,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.679988,roll,0,IDLE,0.278693795204163,2.4031925201416,0.125489547848701,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.719988,roll,0,IDLE,0.358296781778336,2.67987203598022,0.140273556113243,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.759988,roll,0,IDLE,0.435167640447617,2.93321394920349,0.153694212436676,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.799988,roll,0,IDLE,0.506841123104095,3.15237426757812,0.165277972817421,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.839988,roll,0,IDLE,0.571513175964355,3.34091234207153,0.175199910998344,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
