mavpackettype,TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,AEKF,ap_time_s
ATT,2239998,4.829999923706055,4.835151672363281,-6.5,-6.504791736602783,0.0,2.818181276321411,0,2.239998
ATT,2279998,4.869999885559082,4.870413780212402,-6.549999713897705,-6.5550312995910645,0.0,19.0869197845459,0,2.279998
ATT,2319998,4.940000057220459,4.940577507019043,-6.649999618530273,-6.656275749206543,0.0,19.148258209228516,0,2.319998
ATT,2359998,5.009999752044678,5.010619640350342,-6.75,-6.7574944496154785,0.0,19.209829330444336,0,2.359998
ATT,2399998,5.079999923706055,5.081077575683594,-6.849999904632568,-6.858219623565674,0.0,19.270700454711914,0,2.399998
ATT,2439998,5.150000095367432,5.151394844055176,-6.949999809265137,-6.958502292633057,0.0,19.331119537353516,0,2.439998
ATT,2479998,5.25,5.257635593414307,-7.549999713897705,-7.551424980163574,0.0,19.386865615844727,0,2.479998
ATT,2519998,5.359999656677246,5.363410949707031,-8.139999389648438,-8.142996788024902,0.0,19.44265365600586,0,2.519998
ATT,2559998,5.460000038146973,5.468625068664551,-8.729999542236328,-8.73345947265625,0.0,19.497507095336914,0,2.559998
ATT,2599998,5.569999694824219,5.573202133178711,-9.319999694824219,-9.321965217590332,0.0,19.550661087036133,0,2.599998
ATT,2639998,5.670000076293945,5.6778669357299805,-9.899999618530273,-9.908679962158203,0.0,19.602048873901367,0,2.639998
ATT,2679998,5.769999980926514,5.773774147033691,-10.219999313354492,-10.226259231567383,0.0,19.656734466552734,0,2.679998
ATT,2719998,5.849999904632568,5.859834671020508,-10.269999504089355,-10.275221824645996,0.0,19.725435256958008,0,2.719998
ATT,2759998,5.940000057220459,5.9458136558532715,-10.319999694824219,-10.322370529174805,0.0,19.794010162353516,0,2.759998
ATT,2799998,6.029999732971191,6.032329559326172,-10.359999656677246,-10.36689567565918,0.0,19.86180877685547,0,2.799998
ATT,2839998,6.109999656677246,6.1188483238220215,-10.399999618530273,-10.409711837768555,0.0,19.92841911315918,0,2.839998
ATT,2879998,6.199999809265137,6.205257415771484,-10.449999809265137,-10.45000171661377,0.0,19.995113372802734,0,2.879998
ATT,2919998,6.279999732971191,6.281747341156006,-10.510000228881836,-10.510330200195312,0.0,20.066621780395508,0,2.919998
ATT,2959998,6.349999904632568,6.357800483703613,-10.559999465942383,-10.568938255310059,0.0,20.138080596923828,0,2.959998
ATT,2999998,6.429999828338623,6.433608055114746,-10.619999885559082,-10.625744819641113,0.0,20.211071014404297,0,2.999998
