mavpackettype,TimeUS,NavRoll,Roll,NavPitch,Pitch,ThO,RdO,ThD,As,AsT,E2T,GU,ap_time_s
CTUN,9639988,13.21,13.21,-11.36,-11.36,42.900001525878906,0.0,0.0,12.711947441101074,1,0.999993622303009,0,9.639988
CTUN,9679988,13.23,13.23,-11.38,-11.38,42.900001525878906,0.0,0.0,12.71033000946045,1,0.99998539686203,0,9.679988
CTUN,9719988,13.25,13.25,-11.41,-11.41,42.900001525878906,0.0,0.0,12.71033000946045,1,0.99998539686203,0,9.719988
CTUN,9759988,13.25,13.25,-11.44,-11.44,42.900001525878906,0.0,0.0,12.711836814880371,1,0.9999903440475464,0,9.759988
CTUN,9799988,13.25,13.25,-11.47,-11.47,42.900001525878906,0.0,0.0,12.711836814880371,1,0.9999903440475464,0,9.799988
CTUN,9839988,13.25,13.25,-11.49,-11.49,42.79999923706055,0.0,0.0,12.711836814880371,1,0.9999903440475464,0,9.839988
CTUN,9879988,13.25,13.25,-11.51,-11.51,42.79999923706055,0.0,0.0,12.71395206451416,1,0.9999896883964539,0,9.879988
CTUN,9919988,13.25,13.25,-11.54,-11.54,42.79999923706055,0.0,0.0,12.71395206451416,1,0.9999896883964539,0,9.919988
CTUN,9959988,13.25,13.25,-11.56,-11.56,42.79999923706055,0.0,0.0,12.715205192565918,1,0.9999858140945435,0,9.959988
CTUN,9999988,13.25,13.25,-11.58,-11.58,42.79999923706055,0.0,0.0,12.715205192565918,1,0.9999858140945435,0,9.999988
CTUN,10039988,13.25,13.25,-11.6,-11.6,42.79999923706055,0.0,0.0,12.715205192565918,1,0.9999858140945435,0,10.039988
CTUN,10079988,13.25,13.25,-11.62,-11.62,42.70000076293945,0.0,0.0,12.7173490524292,1,0.9999896883964539,0,10.079988
CTUN,10119988,13.24,13.24,-11.64,-11.64,42.70000076293945,0.0,0.0,12.7173490524292,1,0.9999896883964539,0,10.119988
CTUN,10159988,13.25,13.25,-11.66,-11.66,42.70000076293945,0.0,0.0,12.718978881835938,1,0.9999969601631165,0,10.159988
CTUN,10199988,13.26,13.26,-11.69,-11.69,42.70000076293945,0.0,0.0,12.718978881835938,1,0.9999969601631165,0,10.199988
CTUN,10239988,13.27,13.27,-11.72,-11.72,42.599998474121094,0.0,0.0,12.718978881835938,1,0.9999969601631165,0,10.239988
CTUN,10279988,13.27,13.27,-11.75,-11.75,42.599998474121094,0.0,0.0,12.72182846069336,1,0.9999963045120239,0,10.279988
CTUN,10319988,13.28,13.28,-11.78,-11.78,42.599998474121094,0.0,0.0,12.72182846069336,1,0.9999963045120239,0,10.319988
CTUN,10359988,13.28,13.28,-11.79,-11.79,42.599998474121094,0.0,0.0,12.72342586517334,1,0.9999975562095642,0,10.359988
CTUN,10399988,13.28,13.28,-11.78,-11.78,42.5,0.0,0.0,12.72342586517334,1,0.9999975562095642,0,10.399988
CTUN,10439988,13.27,13.27,-11.77,-11.77,42.5,0.0,0.0,12.72342586517334,1,0.9999975562095642,0,10.439988
CTUN,10479988,13.26,13.26,-11.76,-11.76,42.5,0.0,0.0,12.72901439666748,1,0.9999924898147583,0,10.479988
CTUN,10519988,13.25,13.25,-11.75,-11.75,42.400001525878906,0.0,0.0,12.72901439666748,1,0.9999924898147583,0,10.519988
CTUN,10559988,13.25,13.25,-11.76,-11.76,42.400001525878906,0.0,0.0,12.734789848327637,1,0.9999952912330627,0,10.559988
CTUN,10599988,13.25,13.25,-11.79,-11.79,42.400001525878906,0.0,0.0,12.734789848327637,1,0.9999952912330627,0,10.599988
CTUN,10639988,13.26,13.26,-11.81,-11.81,42.29999923706055,0.0,0.0,12.734789848327637,1,0.9999952912330627,0,10.639988
CTUN,10679988,13.27,13.27,-11.83,-11.83,42.29999923706055,0.0,0.0,12.739019393920898,1,0.9999872446060181,0,10.679988
CTUN,10719988,13.27,13.27,-11.86,-11.86,42.29999923706055,0.0,0.0,12.739019393920898,1,0.9999872446060181,0,10.719988
CTUN,10759988,13.27,13.27,-11.89,-11.89,42.20000076293945,0.0,0.0,12.744795799255371,1,0.9999903440475464,0,10.759988
CTUN,10799988,13.27,13.27,-11.94,-11.94,42.20000076293945,0.0,0.0,12.744795799255371,1,0.9999903440475464,0,10.799988
CTUN,10839988,13.26,13.26,-11.99,-11.99,42.099998474121094,0.0,0.0,12.744795799255371,1,0.9999903440475464,0,10.839988
CTUN,10879988,13.26,13.26,-12.04,-12.04,42.099998474121094,0.0,0.0,12.751487731933594,1,0.9999880790710449,0,10.879988
CTUN,10919988,13.25,13.25,-12.09,-12.09,42.099998474121094,0.0,0.0,12.751487731933594,1,0.9999880790710449,0,10.919988
CTUN,10959988,13.24,13.24,-12.11,-12.11,42.0,0.0,0.0,12.757609367370605,1,0.9999890327453613,0,10.959988
CTUN,10999988,13.22,13.22,-12.1,-12.1,42.0,0.0,0.0,12.757609367370605,1,0.9999890327453613,0,10.999988
CTUN,11039988,13.2,13.2,-12.08,-12.08,41.900001525878906,0.0,0.0,12.757609367370605,1,0.9999890327453613,0,11.039988
CTUN,11079988,13.18,13.18,-12.07,-12.07,41.900001525878906,0.0,0.0,12.765657424926758,1,0.9999874830245972,0,11.079988
CTUN,11119988,13.16,13.16,-12.06,-12.06,41.900001525878906,0.0,0.0,12.765657424926758,1,0.9999874830245972,0,11.119988
CTUN,11159988,13.16,13.16,-12.06,-12.06,41.79999923706055,0.0,0.0,12.776850700378418,1,0.9999971389770508,0,11.159988
CTUN,11199988,13.16,13.16,-12.06,-12.06,41.79999923706055,0.0,0.0,12.776850700378418,1,0.9999971389770508,0,11.199988
CTUN,11239988,13.16,13.16,-12.07,-12.07,41.70000076293945,0.0,0.0,12.776850700378418,1,0.9999971389770508,0,11.239988
CTUN,11279988,13.17,13.17,-12.07,-12.07,41.70000076293945,0.0,0.0,12.78679370880127,1,0.9999947547912598,0,11.279988
CTUN,11319988,13.17,13.17,-12.08,-12.08,41.70000076293945,0.0,0.0,12.78679370880127,1,0.9999947547912598,0,11.319988
CTUN,11359988,13.17,13.17,-12.1,-12.1,41.599998474121094,0.0,0.0,12.795670509338379,1,0.9999989867210388,0,11.359988
CTUN,11399988,13.17,13.17,-12.14,-12.14,41.599998474121094,0.0,0.0,12.795670509338379,1,0.9999989867210388,0,11.399988
CTUN,11439988,13.17,13.17,-12.17,-12.17,41.5,0.0,0.0,12.795670509338379,1,0.9999989867210388,0,11.439988
CTUN,11479988,13.16,13.16,-12.21,-12.21,41.5,0.0,0.0,12.803815841674805,1,0.9999907612800598,0,11.479988
