config_id,point_id,plane_name,polar_name,alpha_deg,beta_deg,speed_m_s,control_parameter,density_kg_m3,ref_area_m2,ref_chord_m,ref_span_m,mass_kg,cg_x_m,cg_y_m,cg_z_m,CL_trim,CD_trim,Cm_trim,xNP_m,state_order,derivative_order,A11,A12,A13,A14,A21,A22,A23,A24,A31,A32,A33,A34,A41,A42,A43,A44
CFG013,1,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2,0.36393779709523777,0,9.064809929759754,0,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,0.7407277583635228,0.023518980658404947,0.0030339728498308426,0.14422635532768305,"[v,p,r,phi]","[v_dot,p_dot,r_dot,phi_dot]",-0.4349174546208594,-1.0754294306081005,-8.206467623775044,9.81,-1.3597867090237097,-26.1052574376582,7.289189922576686,0,0.4628457612162248,-3.4667544016511607,-0.8497945410913046,0,0,1,0,0
CFG014,1,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),6.020259718090201,0,6.867815649913003,-3,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2965470680014513,0.06282772790162747,0.004240017809248771,0.16896663178247684,"[v,p,r,phi]","[v_dot,p_dot,r_dot,phi_dot]",-0.3279450118113992,-0.7288102254500324,-6.059360386183542,9.81,-1.059654850677145,-19.35786573907372,9.467979664674903,0,0.2271535274329063,-7.105000482254829,-0.5869885090564279,0,0,1,0,0
CFG014,2,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),5.857821906434406,0,6.90897843764162,-2.9,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2808683569305548,0.06088777286807184,0.003969525683583361,0.1579829872992593,"[v,p,r,phi]","[v_dot,p_dot,r_dot,phi_dot]",-0.3302545921202096,-0.7363539444247684,-6.099886598012432,9.81,-1.0648896735213518,-19.493408197922562,9.412123514507735,0,0.23010707566099628,-6.401004976836448,-0.5987117341508404,0,0,1,0,0
CFG014,3,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),5.693995887793187,0,6.951347116830918,-2.8,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2650365910646426,0.058884506833043304,0.00371484489580841,0.15784554787131694,"[v,p,r,phi]","[v_dot,p_dot,r_dot,phi_dot]",-0.33261108562773845,-0.7440515870341504,-6.141589316114244,9.81,-1.070287878629587,-19.62478070681486,9.355501656658785,0,0.23013774860375974,-6.965799027126849,-0.6135091495330657,0,0,1,0,0
CFG014,4,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),5.528748637768786,0,6.994315805576867,-2.7,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2490482794281403,0.056691655419544636,0.0034120971851052707,0.15723190414966803,"[v,p,r,phi]","[v_dot,p_dot,r_dot,phi_dot]",-0.33498409609904234,-0.7518379095932366,-6.183937792338971,9.81,-1.0757991732706291,-19.765466670123974,9.297178505890217,0,0.2345233245588491,-6.2483200973371815,-0.6269053358698569,0,0,1,0,0
CFG014,5,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),5.362054727997976,0,7.039291061077097,-2.6,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.232900687610043,0.05406820937071198,0.003042276855155777,0.15840015699102997,"[v,p,r,phi]","[v_dot,p_dot,r_dot,phi_dot]",-0.3374395689084445,-0.7598636249877485,-6.228180161340844,9.81,-1.081627494469261,-19.905777972392983,9.238944513778678,0,0.24152288429525506,-6.610675760737522,-0.6413794746902866,0,0,1,0,0
CFG014,6,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),5.193863228471973,0,7.083115933599536,-2.5,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2165885200828976,0.05071081170778683,0.0027314581601037484,0.16017675103527917,"[v,p,r,phi]","[v_dot,p_dot,r_dot,phi_dot]",-0.3398247551913399,-0.7677877584479478,-6.271528316782092,9.81,-1.0872542094999995,-20.046481282888607,9.17654524199781,0,0.24498834934899905,-6.3325654841386765,-0.6559160672253578,0,0,1,0,0
CFG014,7,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),5.0241442434386565,0,7.127073901087376,-2.4,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2001085833775906,0.04574383619284329,0.0026613328246988237,0.15351367514049705,"[v,p,r,phi]","[v_dot,p_dot,r_dot,phi_dot]",-0.3421996284649496,-0.7757465966803814,-6.315119971400924,9.81,-1.092965599971932,-20.18894135807524,9.11161991577305,0,0.26202596382433624,-5.785211305258779,-0.6675679418417328,0,0,1,0,0
CFG014,8,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),4.852859422895901,0,7.174230596987133,-2.3,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.1834568313279719,0.0408121752187674,0.002900023152104417,0.1536173652119159,"[v,p,r,phi]","[v_dot,p_dot,r_dot,phi_dot]",-0.3447100515883911,-0.7840736940388326,-6.361676723374259,9.81,-1.0991623041120318,-20.342972796764514,9.047975997525574,0,0.28021419511999396,-4.705370456994013,-0.676101711236621,0,0,1,0,0
CFG014,9,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),4.679968861314503,0,7.224612468842738,-2.2,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.166629055873462,0.03955226208406264,0.0029004009394164153,0.1533319048761428,"[v,p,r,phi]","[v_dot,p_dot,r_dot,phi_dot]",-0.3473562267803065,-0.7927746161110385,-6.41123147534643,9.81,-1.105810924456856,-20.50153633480616,8.98543232179643,0,0.2919310153606494,-4.5522488698129475,-0.6824726426601302,0,0,1,0,0
