config_id,point_id,plane_name,polar_name,alpha_deg,beta_deg,speed_m_s,control_parameter,density_kg_m3,ref_area_m2,ref_chord_m,ref_span_m,mass_kg,cg_x_m,cg_y_m,cg_z_m,CL_trim,CD_trim,Cm_trim,xNP_m,input_unit,long_state_order,lat_state_order,B_long_1,B_long_2,B_long_3,B_long_4,B_lat_1,B_lat_2,B_lat_3,B_lat_4
CFG013,1,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2,0.36393779709523777,0,9.064809929759754,0,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,0.7407277583635228,0.023518980658404947,0.0030339728498308426,0.14422635532768305,rad,"[u,w,q,theta]","[v,p,r,phi]",0,0,0,0,0,0,0,0
CFG014,1,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),6.020259718090201,0,6.867815649913003,-3,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2965470680014513,0.06282772790162747,0.004240017809248771,0.16896663178247684,rad,"[u,w,q,theta]","[v,p,r,phi]",-0.0027768294682477272,-2.4289562992949487,-45.12650660995027,0,-5.864051384994604e-13,2.9273504464071265e-9,-4.6785918520768905e-7,0
CFG014,2,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),5.857821906434406,0,6.90897843764162,-2.9,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2808683569305548,0.06088777286807184,0.003969525683583361,0.1579829872992593,rad,"[u,w,q,theta]","[v,p,r,phi]",-0.012810662466534792,-2.4577319092632957,-45.64017564306384,0,-2.9015598369660795e-13,2.482695413679823e-9,-4.1022130223952873e-7,0
CFG014,3,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),5.693995887793187,0,6.951347116830918,-2.8,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2650365910646426,0.058884506833043304,0.00371484489580841,0.15784554787131694,rad,"[u,w,q,theta]","[v,p,r,phi]",-0.019413581421485877,-2.4875360463072718,-46.18493567051256,0,1.6721123899956035e-12,1.354485128907329e-9,-2.1802700284742116e-7,0
CFG014,4,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),5.528748637768786,0,6.994315805576867,-2.7,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2490482794281403,0.056691655419544636,0.0034120971851052707,0.15723190414966803,rad,"[u,w,q,theta]","[v,p,r,phi]",-0.023026366520723457,-2.5179480165387864,-46.74600437070936,0,-5.636783977843508e-13,1.0378935936648207e-9,-1.860164718369818e-7,0
CFG014,5,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),5.362054727997976,0,7.039291061077097,-2.6,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.232900687610043,0.05406820937071198,0.003042276855155777,0.15840015699102997,rad,"[u,w,q,theta]","[v,p,r,phi]",-0.026054814228470415,-2.549994930363968,-47.339859124960164,0,6.592968158581524e-14,3.374740043934466e-9,-6.179025009972602e-7,0
CFG014,6,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),5.193863228471973,0,7.083115933599536,-2.5,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2165885200828976,0.05071081170778683,0.0027314581601037484,0.16017675103527917,rad,"[u,w,q,theta]","[v,p,r,phi]",-0.03493437314021299,-2.581402822109775,-47.91427123013573,0,-7.55127775699562e-13,1.166592509473819e-9,-2.2492172214608275e-7,0
CFG014,7,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),5.0241442434386565,0,7.127073901087376,-2.4,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2001085833775906,0.04574383619284329,0.0026613328246988237,0.15351367514049705,rad,"[u,w,q,theta]","[v,p,r,phi]",-0.039780335839240795,-2.613098177222703,-48.495777867675784,0,-6.484334070872747e-13,5.001849927984662e-9,-9.89822385606483e-7,0
CFG014,8,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),4.852859422895901,0,7.174230596987133,-2.3,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.1834568313279719,0.0408121752187674,0.002900023152104417,0.1536173652119159,rad,"[u,w,q,theta]","[v,p,r,phi]",-0.03665116034150116,-2.647345242745276,-49.13760342706848,0,-3.860981182648028e-13,-2.0533593872227233e-9,4.1327449360767026e-7,0
CFG014,9,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),4.679968861314503,0,7.224612468842738,-2.2,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.166629055873462,0.03955226208406264,0.0029004009394164153,0.1533319048761428,rad,"[u,w,q,theta]","[v,p,r,phi]",-0.02920319160694389,-2.684209879502085,-49.83152094013299,0,-4.77249000039922e-13,2.988599263017764e-9,-6.384626752414977e-7,0
