config_id,point_id,plane_name,polar_name,alpha_deg,beta_deg,speed_m_s,control_parameter,density_kg_m3,ref_area_m2,ref_chord_m,ref_span_m,mass_kg,cg_x_m,cg_y_m,cg_z_m,CL_trim,CD_trim,Cm_trim,xNP_m,mode_family,mode_index,eigen_real_1_s,eigen_imag_1_s,undamped_wn_rad_s,damped_frequency_Hz,damping_ratio,time_constant_s,stable
CFG013,1,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2,0.36393779709523777,0,9.064809929759754,0,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,0.7407277583635228,0.023518980658404947,0.0030339728498308426,0.14422635532768305,longitudinal,1,-10.17066078067059,-5.2700548698907115,11.454947361168,0.8387552829086221,0.8878836768075329,0.09832202858446591,true
CFG013,1,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2,0.36393779709523777,0,9.064809929759754,0,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,0.7407277583635228,0.023518980658404947,0.0030339728498308426,0.14422635532768305,longitudinal,2,-10.17066078067059,5.2700548698907115,11.454947361168,0.8387552829086221,0.8878836768075329,0.09832202858446591,true
CFG013,1,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2,0.36393779709523777,0,9.064809929759754,0,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,0.7407277583635228,0.023518980658404947,0.0030339728498308426,0.14422635532768305,longitudinal,3,-0.06640461922717186,-0.782704046744051,0.785515880325929,0.12457121801734564,0.08453631669371092,15.059193345857086,true
CFG013,1,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2,0.36393779709523777,0,9.064809929759754,0,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,0.7407277583635228,0.023518980658404947,0.0030339728498308426,0.14422635532768305,longitudinal,4,-0.06640461922717186,0.782704046744051,0.785515880325929,0.12457121801734564,0.08453631669371092,15.059193345857086,true
CFG013,1,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2,0.36393779709523777,0,9.064809929759754,0,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,0.7407277583635228,0.023518980658404947,0.0030339728498308426,0.14422635532768305,lateral,5,-25.226649235000842,0,25.226649235000842,0,1,0.03964061935790287,true
CFG013,1,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2,0.36393779709523777,0,9.064809929759754,0,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,0.7407277583635228,0.023518980658404947,0.0030339728498308426,0.14422635532768305,lateral,6,-1.1414572066569226,-2.4310310964251127,2.685672494258172,0.38691061580616676,0.425017275597564,0.8760731406907318,true
CFG013,1,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2,0.36393779709523777,0,9.064809929759754,0,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,0.7407277583635228,0.023518980658404947,0.0030339728498308426,0.14422635532768305,lateral,7,-1.1414572066569226,2.4310310964251127,2.685672494258172,0.38691061580616676,0.425017275597564,0.8760731406907318,true
CFG013,1,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2,0.36393779709523777,0,9.064809929759754,0,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,0.7407277583635228,0.023518980658404947,0.0030339728498308426,0.14422635532768305,lateral,8,0.11959421494833578,0,0.11959421494833578,0,-1,,false
CFG014,1,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),6.020259718090201,0,6.867815649913003,-3,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2965470680014513,0.06282772790162747,0.004240017809248771,0.16896663178247684,longitudinal,1,-7.795739399120489,-5.509637893477554,9.546185756428756,0.8768861053933702,0.8166339518242193,0.12827519607861948,true
CFG014,1,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),6.020259718090201,0,6.867815649913003,-3,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2965470680014513,0.06282772790162747,0.004240017809248771,0.16896663178247684,longitudinal,2,-7.795739399120489,5.509637893477554,9.546185756428756,0.8768861053933702,0.8166339518242193,0.12827519607861948,true
CFG014,1,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),6.020259718090201,0,6.867815649913003,-3,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2965470680014513,0.06282772790162747,0.004240017809248771,0.16896663178247684,longitudinal,3,0.03524976002511882,-1.276846158580949,1.2773326341500693,0.2032163777060561,-0.027596382557448583,,false
CFG014,1,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),6.020259718090201,0,6.867815649913003,-3,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2965470680014513,0.06282772790162747,0.004240017809248771,0.16896663178247684,longitudinal,4,0.03524976002511882,1.276846158580949,1.2773326341500693,0.2032163777060561,-0.027596382557448583,,false
CFG014,1,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),6.020259718090201,0,6.867815649913003,-3,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2965470680014513,0.06282772790162747,0.004240017809248771,0.16896663178247684,lateral,5,-15.066578381312276,0,15.066578381312276,0,1,0.06637207033285958,true
CFG014,1,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),6.020259718090201,0,6.867815649913003,-3,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2965470680014513,0.06282772790162747,0.004240017809248771,0.16896663178247684,lateral,6,-2.6653114605241273,-0.9471527585912436,2.828600984534273,0.15074404339292105,0.9422719836049865,0.37519067276413254,true
CFG014,1,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),6.020259718090201,0,6.867815649913003,-3,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2965470680014513,0.06282772790162747,0.004240017809248771,0.16896663178247684,lateral,7,-2.6653114605241273,0.9471527585912436,2.828600984534273,0.15074404339292105,0.9422719836049865,0.37519067276413254,true
CFG014,1,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),6.020259718090201,0,6.867815649913003,-3,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2965470680014513,0.06282772790162747,0.004240017809248771,0.16896663178247684,lateral,8,0.12440204238856722,0,0.12440204238856722,0,-1,,false
CFG014,2,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),5.857821906434406,0,6.90897843764162,-2.9,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2808683569305548,0.06088777286807184,0.003969525683583361,0.1579829872992593,longitudinal,1,-7.746532514951981,-4.944203397570118,9.189881024352392,0.7868944103750277,0.8429415456439902,0.12909001518677532,true
