config_id,point_id,plane_name,polar_name,alpha_deg,beta_deg,speed_m_s,control_parameter,density_kg_m3,ref_area_m2,ref_chord_m,ref_span_m,mass_kg,cg_x_m,cg_y_m,cg_z_m,CL_trim,CD_trim,Cm_trim,xNP_m,CXu,CZu,Cmu,CXa,CLa,Cma,CXq,CLq,Cmq,CYb,CYp,CYr,Clb,Clp,Clr,Cnb,Cnp,Cnr,CXd,CYd,CZd,Cld,Cmd,Cnd,n_controls
CFG013,1,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2,0.36393779709523777,0,9.064809929759754,0,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,0.7407277583635228,0.023518980658404947,0.0030339728498308426,0.14422635532768305,-0.03401743207783891,0.002032163552569982,-0.002855014446345316,0.6283111430918832,5.869867627138467,-0.6016579248432048,0.7842108184361807,6.67686021435169,-13.08885299916518,-0.2980921103244162,-0.23420097000264198,0.18692495754208113,-0.12334891733609162,-0.7522293683031354,0.2100666498209037,0.044931820365130964,-0.10639480218459085,-0.026282497483295912,0,0,0,0,0,0,1
CFG014,1,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),6.020259718090201,0,6.867815649913003,-3,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2965470680014513,0.06282772790162747,0.004240017809248771,0.16896663178247684,-0.11471121735669178,-0.00866821690792315,-0.008083345761646524,0.28172463275345855,5.749212917204591,-1.0969393750741256,1.2516255660140168,6.66089727359607,-13.166399244717367,-0.29667759288627454,-0.20948903810056957,0.23238218898677984,-0.12675293853337447,-0.7383983632994257,0.36018677661688403,0.028256389009103492,-0.2932990293635866,-0.02160024266406688,-0.00036577523470510777,-7.724366210441915e-14,-0.3199519706277472,8.378756825451135e-14,-1.3408413942358064,-8.711556854527695e-9,1
CFG014,2,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),5.857821906434406,0,6.90897843764162,-2.9,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2808683569305548,0.06088777286807184,0.003969525683583361,0.1579829872992593,-0.11276617192120929,-0.00801439888132847,-0.0072659382686893915,0.7448590429109071,5.753635310264114,-0.8722351740930412,1.2078810342862518,6.659313824560461,-13.160378616495537,-0.2969869553333513,-0.21039637583388465,0.23117957344240692,-0.1266196807728596,-0.7388881697255246,0.3559169179280578,0.02848490298435142,-0.2630155211024427,-0.02202740477643825,-0.001667424814254718,-3.776645341207558e-14,-0.31989627257736586,-1.9743408862419378e-14,-1.339993170495295,-7.547855669758503e-9,1
CFG014,3,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),5.693995887793187,0,6.951347116830918,-2.8,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2650365910646426,0.058884506833043304,0.00371484489580841,0.15784554787131694,-0.10937370370045911,-0.007386033313813443,-0.0063860522686103064,0.691407060260044,5.7580389035356285,-0.8700782823460524,1.151385917743687,6.657826711846873,-13.160726421681106,-0.2972830105522037,-0.21130002386966473,0.22995965011257669,-0.1264876626995007,-0.7393767409678519,0.3516078003325166,0.028336768724318076,-0.28398247064102317,-0.022569054137869676,-0.0024961464183983996,2.1499574255926534e-13,-0.3198407371529477,1.3034239295677153e-12,-1.339508100149998,-3.962956810129769e-9,1
CFG014,4,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),5.528748637768786,0,6.994315805576867,-2.7,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2490482794281403,0.056691655419544636,0.0034120971851052707,0.15723190414966803,-0.10409746609859644,-0.00630981581066135,-0.0057317268635173795,0.6848581209751583,5.76242303912286,-0.8581203991545554,1.12728334426962,6.656439652498421,-13.155850121323303,-0.29756462303029,-0.21219954921901316,0.22872197173339767,-0.12635691583402084,-0.739864030377262,0.3472585129454691,0.028735297645717656,-0.2535040440638324,-0.023046457076561982,-0.002924403428187805,-7.158849996556789e-14,-0.31978539926990446,-2.6955311199397234e-13,-1.3391738879522597,-3.339822664795395e-9,1
CFG014,5,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),5.362054727997976,0,7.039291061077097,-2.6,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.232900687610043,0.05406820937071198,0.003042276855155777,0.15840015699102997,-0.09706555559669328,-0.005753831686739104,-0.005099944713494142,0.5115199964644149,5.766786796360782,-0.882815019875076,1.1001603771264399,6.655156623104445,-13.144371541144409,-0.2978306785846288,-0.21309448334329884,0.22746615633325237,-0.1262274752962991,-0.7403499618304131,0.3428683433900822,0.029447140773925344,-0.26614208041747267,-0.02355386537209184,-0.003266874730438362,8.266572498651495e-15,-0.31973031654354006,-6.903946766216967e-14,-1.338912104928081,-1.095313579107723e-8,1
CFG014,6,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),5.193863228471973,0,7.083115933599536,-2.5,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2165885200828976,0.05071081170778683,0.0027314581601037484,0.16017675103527917,-0.0914942594878496,-0.00347708490857883,-0.004343955598035818,-0.007979441393349296,5.771129877871537,-0.920072985526906,1.0093765181157328,6.653981633240299,-13.129539426850318,-0.29808011749556085,-0.21398449573555814,0.2261916330640194,-0.126099355117574,-0.7408345258449195,0.33843590512034266,0.02971722476282474,-0.2534252114400813,-0.02406183759294716,-0.004326200075239129,-9.351345240788493e-14,-0.3196755538853136,-3.033512120952821e-13,-1.3384407139447352,-3.9379746311849395e-9,1
CFG014,7,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),5.0241442434386565,0,7.127073901087376,-2.4,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2001085833775906,0.04574383619284329,0.0026613328246988237,0.15351367514049705,-0.08260794872649344,-0.0003963178081748679,-0.0041925024076361365,-0.1487381277377588,5.775451350646001,-0.7834175797313842,-3.2630463582526947,6.652919077639673,-13.024271850017678,-0.2983119272512711,-0.21486916260120284,0.2248980036639018,-0.1259725824769648,-0.7413176429280893,0.33396036405122537,0.03165671550720591,-0.23031203861627086,-0.024450367094801275,-0.004865732926578338,-7.931315090722832e-14,-0.3196211789834151,-2.2803461027936486e-13,-1.338025400774412,-1.7117412327452236e-8,1
CFG014,8,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),4.852859422895901,0,7.174230596987133,-2.3,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.1834568313279719,0.0408121752187674,0.002900023152104417,0.1536173652119159,-0.0732415019656304,0.0014625063365305295,-0.004445155965541427,0.6612536838166693,5.779750439707321,-0.7861396637173426,1.068020128236116,6.651973524886485,-13.105811860934752,-0.29852517516101373,-0.21574812292759915,0.2235848165068587,-0.12584717568604584,-0.7417992496500774,0.32944066126689997,0.03369869017655169,-0.18666998433698823,-0.02470124326943638,-0.0044242474692638084,-4.660680880780562e-14,-0.31956724920441215,-6.899609854856415e-13,-1.337969642322619,7.053488488176297e-9,1
CFG014,9,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),4.679968861314503,0,7.224612468842738,-2.2,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.166629055873462,0.03955226208406264,0.0029004009394164153,0.1533319048761428,-0.07004764006951171,0.0022008132884358007,-0.0042812567412358815,0.7765154441956641,5.7840263362774795,-0.7808283940188963,1.1559712349651312,6.65114977794633,-13.106326154290736,-0.29871902181093074,-0.21662104873437663,0.2222516213953814,-0.12572314923744307,-0.7422792778873321,0.3248756947790783,0.03491154889755603,-0.17933253379472094,-0.024853692530784923,-0.0034761903654114803,-5.6809146006033236e-14,-0.31951386161671413,2.2614430936659432e-13,-1.338005758363355,-1.0745708791320447e-8,1
