config_id,point_id,plane_name,polar_name,alpha_deg,beta_deg,speed_m_s,control_parameter,density_kg_m3,ref_area_m2,ref_chord_m,ref_span_m,mass_kg,cg_x_m,cg_y_m,cg_z_m,CL_trim,CD_trim,Cm_trim,xNP_m,state_order,derivative_order,A11,A12,A13,A14,A21,A22,A23,A24,A31,A32,A33,A34,A41,A42,A43,A44
CFG013,1,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2,0.36393779709523777,0,9.064809929759754,0,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,0.7407277583635228,0.023518980658404947,0.0030339728498308426,0.14422635532768305,"[u,w,q,theta]","[u_dot,w_dot,q_dot,theta_dot]",-0.04963155501140365,0.9167082039375326,0,-9.81,-2.1614488985065714,-8.564157852343339,7.700074425519205,0,-0.01846647744839526,-3.8915748797656025,-11.860341392311703,0,0,0,1,0
CFG014,1,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),6.020259718090201,0,6.867815649913003,-3,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2965470680014513,0.06282772790162747,0.004240017809248771,0.16896663178247684,"[u,w,q,theta]","[u_dot,w_dot,q_dot,theta_dot]",-0.1268008519448948,0.3114161306118963,0,-9.81,-2.8663853080222643,-6.355133462208079,5.836316513471961,0,-0.039612005676674646,-5.375493024011549,-9.039044964037767,0,0,0,1,0
CFG014,2,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),5.857821906434406,0,6.90897843764162,-2.9,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2808683569305548,0.06088777286807184,0.003969525683583361,0.1579829872992593,"[u,w,q,theta]","[u_dot,w_dot,q_dot,theta_dot]",-0.12539791881092843,0.8282960412435549,0,-9.81,-2.8486952193825443,-6.398141226327204,5.871543611675405,0,-0.03581975315631305,-4.2999606485649435,-9.089063106513636,0,0,0,1,0
CFG014,3,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),5.693995887793187,0,6.951347116830918,-2.8,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2650365910646426,0.058884506833043304,0.00371484489580841,0.15784554787131694,"[u,w,q,theta]","[u_dot,w_dot,q_dot,theta_dot]",-0.12237129279390173,0.7735714614051014,0,-9.81,-2.8307382669048047,-6.442304143900702,5.907783410164671,0,-0.03167513627951665,-4.31563147433436,-9.145042636477083,0,0,0,1,0
CFG014,4,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),5.528748637768786,0,6.994315805576867,-2.7,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2490482794281403,0.056691655419544636,0.0034120971851052707,0.15723190414966803,"[u,w,q,theta]","[u_dot,w_dot,q_dot,theta_dot]",-0.11718797494179745,0.770980690764436,0,-9.81,-2.8122382808340882,-6.487061712656529,5.9445202244058315,0,-0.028605383317956208,-4.282629569635495,-9.198161960655948,0,0,0,1,0
CFG014,5,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),5.362054727997976,0,7.039291061077097,-2.6,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.232900687610043,0.05406820937071198,0.003042276855155777,0.15840015699102997,"[u,w,q,theta]","[u_dot,w_dot,q_dot,theta_dot]",-0.1099744304114723,0.5795477078294163,0,-9.81,-2.7937315360704438,-6.533719292446737,5.982948672773387,0,-0.025616007311192665,-4.4342041480792656,-9.249231442918326,0,0,0,1,0
CFG014,6,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),5.193863228471973,0,7.083115933599536,-2.5,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2165885200828976,0.05071081170778683,0.0027314581601037484,0.16017675103527917,"[u,w,q,theta]","[u_dot,w_dot,q_dot,theta_dot]",-0.10430757540322849,-0.009096922467829314,0,-9.81,-2.7739314013775127,-6.5793479095576695,6.020384682583357,0,-0.021954663005737184,-4.650114827844788,-9.296313039981424,0,0,0,1,0
CFG014,7,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),5.0241442434386565,0,7.127073901087376,-2.4,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2001085833775906,0.04574383619284329,0.0026613328246988237,0.15351367514049705,"[u,w,q,theta]","[u_dot,w_dot,q_dot,theta_dot]",-0.09476124412097976,-0.17062050625807285,0,-9.81,-2.7533375424841213,-6.625136730599937,6.057918075173941,0,-0.021320708395822226,-3.984021032210052,-9.27900934650398,0,0,0,1,0
CFG014,8,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),4.852859422895901,0,7.174230596987133,-2.3,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.1834568313279719,0.0408121752187674,0.002900023152104417,0.1536173652119159,"[u,w,q,theta]","[u_dot,w_dot,q_dot,theta_dot]",-0.0845727061624412,0.763556344413883,0,-9.81,-2.7330992645021146,-6.673936532036005,6.098153600086157,0,-0.022755133247080953,-4.0243161178990645,-9.398881166157627,0,0,0,1,0
CFG014,9,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),4.679968861314503,0,7.224612468842738,-2.2,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.166629055873462,0.03955226208406264,0.0029004009394164153,0.1533319048761428,"[u,w,q,theta]","[u_dot,w_dot,q_dot,theta_dot]",-0.08145274379216066,0.9029471009153179,0,-9.81,-2.7131574505459053,-6.725777125230757,6.141112787382408,0,-0.02207002761675674,-4.025197567331639,-9.465257323835768,0,0,0,1,0
CFG014,10,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),4.505441121376136,0,7.276761502508455,-2.1,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.1496218961318956,0.03843245526884276,0.0029052586621627443,0.15285296358231076,"[u,w,q,theta]","[u_dot,w_dot,q_dot,theta_dot]",-0.07883804309862287,0.9517801248649289,0,-9.81,-2.6929036844820473,-6.779304980414181,6.185555194271161,0,-0.021630347068967125,-4.005859310263621,-9.531568544014007,0,0,0,1,0
CFG014,11,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),4.329216096870249,0,7.33078441253139,-2,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.1324291000288482,0.0374343165359408,0.0029174382339227064,0.15237049268562047,"[u,w,q,theta]","[u_dot,w_dot,q_dot,theta_dot]",-0.07620305330397623,0.9927503232812341,0,-9.81,-2.672324055929713,-6.834622061283347,6.23157030416885,0,-0.02114265382190912,-3.9863717873216262,-9.600292143361466,0,0,0,1,0
