Time_s,Axis,Event,State,Action,Surface_deg,P_slew,D_slew,FF_single,FF,P,I,D,RMAX,TAU
5.439988,pitch,ATRP_LOG_START,IDLE,NONE,-1.1477712392807,0.361668765544891,0.0539572685956955,0,0.795000016689301,0.342162489891052,0.599749982357025,0.0240024998784065,55,0.46000000834465
14.399988,pitch,NEGATIVE_EXCITATION_START,DEMAND_NEG,NONE,-1.09156858921051,7.10074901580811,7.97596836090088,0,0.795000016689301,0.342162489891052,0.599749982357025,0.0240024998784065,55,0.46000000834465
16.159988,pitch,EXCITATION_END,IDLE,NONE,-0.800285160541534,7.10074901580811,8.42807388305664,0,0.795000016689301,0.342162489891052,0.599749982357025,0.0240024998784065,55,0.46000000834465
16.199988,pitch,LOWER_PD;PARAMETER_UPDATE,IDLE,LOWER_PD,-0.745092272758484,1.71873879432678,2.5533287525177,1.01858901977539,0.890400052070618,0.119756869971752,0.890400052070618,0.0180018749088049,35,0.528999984264374
18.759988,pitch,POSITIVE_EXCITATION_START,DEMAND_POS,LOWER_PD,0.781748116016388,1.71873879432678,5.01625061035156,1.01858901977539,0.890400052070618,0.119756869971752,0.890400052070618,0.0180018749088049,35,0.528999984264374
19.159988,pitch,EXCITATION_END,IDLE,LOWER_PD,0.959161162376404,1.71873879432678,5.11733913421631,1.01858901977539,0.890400052070618,0.119756869971752,0.890400052070618,0.0180018749088049,35,0.528999984264374
19.199988,pitch,PARAMETER_UPDATE,IDLE,LOWER_PD,0.797832310199738,1.47969484329224,5.18626737594604,1.24102354049683,0.99724805355072,0.119756869971752,0.99724805355072,0.0180018749088049,30,0.608349978923798
21.399988,pitch,NEGATIVE_EXCITATION_START,DEMAND_NEG,LOWER_PD,-1.13557505607605,1.58766949176788,5.2591724395752,1.24102354049683,0.99724805355072,0.119756869971752,0.99724805355072,0.0180018749088049,30,0.608349978923798
21.759988,pitch,EXCITATION_END,IDLE,LOWER_PD,-1.05837464332581,1.58766949176788,5.2591724395752,1.24102354049683,0.99724805355072,0.119756869971752,0.99724805355072,0.0180018749088049,30,0.608349978923798
21.799988,pitch,PARAMETER_UPDATE,IDLE,LOWER_PD,-0.859800219535828,1.44914662837982,4.91104507446289,0.974256694316864,1.01858901977539,0.119756869971752,1.01858901977539,0.0180018749088049,30,0.699602484703064
23.039988,pitch,NEGATIVE_EXCITATION_START,DEMAND_NEG,LOWER_PD,-0.851653218269348,1.53052771091461,4.92071628570557,0.974256694316864,1.01858901977539,0.119756869971752,1.01858901977539,0.0180018749088049,30,0.699602484703064
23.639988,pitch,EXCITATION_END;RAISE_D;PARAMETER_UPDATE,IDLE,RAISE_D,-0.849290311336517,1,3.18609595298767,0.982276320457458,1.01858901977539,0.0598784349858761,1.01858901977539,0.0234024357050657,30,0.80454283952713
27.439988,pitch,POSITIVE_EXCITATION_START,DEMAND_POS,RAISE_D,0.588488638401031,1.70465993881226,3.18609595298767,0.982276320457458,1.01858901977539,0.0598784349858761,1.01858901977539,0.0234024357050657,30,0.80454283952713
28.959988,pitch,EXCITATION_END,IDLE,RAISE_D,0.509351015090942,1.70465993881226,3.18609595298767,0.982276320457458,1.01858901977539,0.0598784349858761,1.01858901977539,0.0234024357050657,30,0.80454283952713
28.999988,pitch,PARAMETER_UPDATE,IDLE,RAISE_D,0.479370176792145,1,1.04957354068756,1.49900996685028,1.01858901977539,0.0598784349858761,1.01858901977539,0.0304231662303209,30,0.925224244594574
31.799988,pitch,NEGATIVE_EXCITATION_START,DEMAND_NEG,RAISE_D,-0.532913088798523,1,3.02307915687561,1.49900996685028,1.01858901977539,0.0598784349858761,1.01858901977539,0.0304231662303209,30,0.925224244594574
34.359988,pitch,EXCITATION_END;PARAMETER_UPDATE,IDLE,RAISE_D,-0.554597795009613,1,1,0.870088517665863,1.01858901977539,0.0598784349858761,1.01858901977539,0.0395501144230366,30,1.06400787830353
