source_file,nominal_supply_V,airspeed_min_mps,airspeed_max_mps,airspeed_mid_mps,plateau_samples,throttle_pct,loaded_voltage_V,current_A,power_W,thrust_N,effective_voltage_V,propulsive_efficiency_TV_over_P,fit_role
X2820电压22风速7.4-8.0.xlsx,22.0,7.4,8.0,7.7,425,47.0,21.6609992980957,3.30866885185242,71.4119033813477,4.28550605,10.18066967010498,0.4620853810433368,thrust_fit
X2820电压22风速7.4-8.0.xlsx,22.0,7.4,8.0,7.7,577,48.0,21.6429996490479,3.48163890838623,75.18017578125,4.5698989,10.388639831542992,0.46805186559268425,thrust_fit
X2820电压22风速7.4-8.0.xlsx,22.0,7.4,8.0,7.7,608,49.0,21.6219997406006,3.6817901134491,79.3808822631836,4.971971549999999,10.594779872894295,0.4822846489419277,thrust_fit
X2820电压22风速7.4-8.0.xlsx,22.0,7.4,8.0,7.7,516,50.0,21.6030006408691,3.86464405059814,83.33447265625,5.2171378,10.801500320434549,0.48205694209774475,thrust_fit
X2820电压22风速7.4-8.0.xlsx,22.0,7.4,8.0,7.7,577,51.0,21.5830001831055,4.06479501724243,87.5969543457031,5.6780503499999995,11.007330093383805,0.4991153861634762,thrust_fit
X2820电压22风速7.4-8.0.xlsx,22.0,7.4,8.0,7.7,511,52.0,21.5659999847412,4.25753355026245,91.6123275756836,5.8447634,11.214319992065425,0.49125133451958564,thrust_fit
X2820电压22风速7.4-8.0.xlsx,22.0,7.4,8.0,7.7,524,53.0,21.5450000762939,4.44780015945435,95.6277008056641,6.3350959,11.418850040435766,0.5101057331612715,thrust_fit
X2820电压22风速7.4-8.0.xlsx,22.0,7.4,8.0,7.7,496,54.0,21.5230007171631,4.68995809555054,100.693252563477,6.5900688,11.622420387268074,0.5039417087854153,thrust_fit
X2820电压22风速7.4-8.0.xlsx,22.0,7.4,8.0,7.7,543,55.0,21.5,4.9247031211853,105.69702911377,7.0411747,11.825,0.5129476735967853,thrust_fit
X2820电压22风速7.4-8.0.xlsx,22.0,7.4,8.0,7.7,555,56.0,21.4769992828369,5.12238311767578,109.77417755127,7.28634095,12.027119598388662,0.5110931055602421,thrust_fit
X2820电压22风速7.4-8.0.xlsx,22.0,7.4,8.0,7.7,542,57.0,21.4629993438721,5.248404264450075,112.39961624145499,7.526603875,12.233909626007096,0.5156143034599189,thrust_fit
X2820电压22风速7.4-8.0.xlsx,22.0,7.4,8.0,7.7,519,58.0,21.443000793457,5.46091032028198,116.940078735352,7.835513349999999,12.43694046020506,0.5159347714442805,thrust_fit
X2820电压22风速7.4-8.0.xlsx,22.0,7.4,8.0,7.7,613,60.0,21.3999996185303,5.89827728271484,126.021003723145,8.4533323,12.83999977111818,0.516506429777352,thrust_fit
X2820电压22风速7.4-8.0.xlsx,22.0,7.4,8.0,7.7,553,61.2999992370605,21.371000289917,6.16514539718628,131.580749511719,8.79656505,13.100423014671316,0.5147679363155431,thrust_fit
X2820电压22风速7.4-8.0.xlsx,22.0,7.4,8.0,7.7,121,62.2000007629395,21.3519992828369,6.35541248321533,135.596130371094,9.0025047,13.28094371682739,0.5112187641364823,thrust_fit
X2820电压22风速7.4-8.0.xlsx,22.0,7.4,8.0,7.7,606,62.5999984741211,21.3409996032715,6.469078540802,137.820022583008,9.198637699999999,13.35946542601015,0.5139275771583907,thrust_fit
