Parameter,N,Mean,Std,CV,Minimum,Maximum,Pass
RLL_RATE_FF,3,0.701962590218,1.35973995551052e-16,1.93705472978017e-16,0.701962590218,0.701962590218,1
RLL_RATE_P,3,0.978386878967,0,0,0.978386878967,0.978386878967,1
RLL_RATE_I,3,0.701962590218,1.35973995551052e-16,1.93705472978017e-16,0.701962590218,0.701962590218,1
RLL_RATE_D,3,0.0362957529724,0,0,0.0362957529724,0.0362957529724,1
RLL2SRV_RMAX,3,30,0,0,30,30,1
RLL2SRV_TCONST,3,0.899999976158,0,0,0.899999976158,0.899999976158,1
