Parameter,Initial,MinimumObserved,MaximumObserved,Final,NumberOfUpdates
FF,0.795000016689301,0.795000016689301,1.12158834934235,1.01858901977539,15
P,0.342162489891052,0.0598784349858761,0.63498055934906,0.63498055934906,11
I,0.599749982357025,0.599749982357025,1.12158834934235,1.01858901977539,15
D,0.0240024998784065,0.0180018749088049,0.708801209926605,0.0744241327047348,17
RMAX,55,30,55,30,2
TAU,0.46000000834465,0.46000000834465,1.34999990463257,1.34999990463257,8
