Time_s,Axis,StateValue,State,Surface_deg,P_slew,D_slew,FF_single,FF,P,I,D,ActionValue,Action,RMAX,TAU
5.439988,roll,2,DEMAND_NEG,-23.0260181427002,9.43532752990723,0.361736625432968,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.479988,roll,2,DEMAND_NEG,-23.0260181427002,27.1951198577881,1.04238021373749,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.519988,roll,2,DEMAND_NEG,-23.0260181427002,44.1693572998047,1.82680833339691,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.559988,roll,2,DEMAND_NEG,-23.0260181427002,59.8128128051758,2.58843922615051,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.599988,roll,2,DEMAND_NEG,-23.0260181427002,74.2298278808594,3.3096809387207,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.639988,roll,2,DEMAND_NEG,-23.0260181427002,87.5165481567383,3.97437715530396,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.679988,roll,2,DEMAND_NEG,-23.0260181427002,99.7615814208984,4.58696126937866,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.719988,roll,2,DEMAND_NEG,-23.0260181427002,111.046607971191,5.15151882171631,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.759988,roll,2,DEMAND_NEG,-23.0260181427002,121.258186340332,5.66458034515381,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.799988,roll,2,DEMAND_NEG,-23.0260181427002,129.944305419922,6.10962724685669,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.839988,roll,2,DEMAND_NEG,-23.0260181427002,137.234893798828,6.49309301376343,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.879988,roll,2,DEMAND_NEG,-23.0260181427002,143.261764526367,6.81866693496704,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.919988,roll,2,DEMAND_NEG,-23.0260181427002,148.151412963867,7.08566427230835,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.959988,roll,2,DEMAND_NEG,-23.0260181427002,152.019302368164,7.29998636245728,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.999988,roll,2,DEMAND_NEG,-23.0260181427002,154.970809936523,7.46701955795288,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
6.039988,roll,2,DEMAND_NEG,-23.0260181427002,157.102081298828,7.59167957305908,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
6.079988,roll,2,DEMAND_NEG,-23.0260181427002,158.500717163086,7.67844772338867,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
6.119988,roll,2,DEMAND_NEG,-23.0260181427002,159.24658203125,7.73140716552734,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
