Parameter,Initial,MinimumObserved,MaximumObserved,Final,NumberOfUpdates
FF,0.300000011920929,0.300000011920929,0.300000011920929,0.300000011920929,0
P,0.0840499997138977,0.0840499997138977,0.0840499997138977,0.0840499997138977,0
I,0.586462497711182,0.586462497711182,0.586462497711182,0.586462497711182,0
D,0.00143499998375773,0.00143499998375773,0.00143499998375773,0.00143499998375773,0
RMAX,55,55,55,55,0
TAU,0.585349977016449,0.585349977016449,0.585349977016449,0.585349977016449,0
