Axis,Trial,Status,CompletionClass,FirstFinishedTime_s,FinishedText,RunDirectory
roll,1,FAIL,FAILED_OTHER,NaN,,E:\动力学搭建\成品\UAV_Autotune_v5_4_1_Validation_Fix\results\v5_4_1\campaigns\20260825_170738_275_repeatability_level2\roll\trial_1\20260825_170739_632_native_roll_autotune_repeat_1
roll,2,FAIL,FAILED_OTHER,NaN,,E:\动力学搭建\成品\UAV_Autotune_v5_4_1_Validation_Fix\results\v5_4_1\campaigns\20260825_170738_275_repeatability_level2\roll\trial_2\20260825_170919_526_native_roll_autotune_repeat_2
roll,3,FAIL,FAILED_OTHER,NaN,,E:\动力学搭建\成品\UAV_Autotune_v5_4_1_Validation_Fix\results\v5_4_1\campaigns\20260825_170738_275_repeatability_level2\roll\trial_3\20260825_171050_713_native_roll_autotune_repeat_3
pitch,1,FAIL,FAILED_OTHER,NaN,,E:\动力学搭建\成品\UAV_Autotune_v5_4_1_Validation_Fix\results\v5_4_1\campaigns\20260825_170738_275_repeatability_level2\pitch\trial_1\20260825_171224_752_native_pitch_autotune_repeat_1
pitch,2,FAIL,FAILED_OTHER,NaN,,E:\动力学搭建\成品\UAV_Autotune_v5_4_1_Validation_Fix\results\v5_4_1\campaigns\20260825_170738_275_repeatability_level2\pitch\trial_2\20260825_171408_150_native_pitch_autotune_repeat_2
pitch,3,FAIL,FAILED_OTHER,NaN,,E:\动力学搭建\成品\UAV_Autotune_v5_4_1_Validation_Fix\results\v5_4_1\campaigns\20260825_170738_275_repeatability_level2\pitch\trial_3\20260825_171540_370_native_pitch_autotune_repeat_3
