mavpackettype,TimeUS,ID,Seq,Message,ap_time_s
MSG,2199998,10,0,ArduPlane V4.7.0 (1511f271),2.199998
MSG,2199998,11,0,DESKTOP-GK6LBQ8,2.199998
MSG,2199998,12,0,Param space used: 139/3840,2.199998
MSG,2199998,13,0,RC Protocol: FDM,2.199998
MSG,2199998,14,0,New mission,2.199998
MSG,2199998,15,0,New rally,2.199998
MSG,2199998,16,0,New fence,2.199998
