Airspeed_mps,Direction,r_op_max_deg_s,BetaPeak_deg,TimeToBetaLimit_s,p_peak_deg_s,phi_peak_deg,r_peak_deg_s,K_yaw_roll,Limit
10,YAW_RIGHT,23.1365776006592,14.9688208170729,0.995,8.3260903220158,6.20242070666513,23.1365776006592,0.359866980576184,BETA_LIMITED
10,YAW_LEFT,23.1365776006592,14.9688208170729,0.995,8.3260903220158,6.20242070666513,23.1365776006592,0.359866980576184,BETA_LIMITED
13,YAW_RIGHT,29.454867120351,14.9740129310097,0.705,10.5933464378868,4.39971016341128,29.454867120351,0.359646723056092,BETA_LIMITED
13,YAW_LEFT,29.454867120351,14.9740129310097,0.705,10.5933464378868,4.39971016341128,29.454867120351,0.359646723056092,BETA_LIMITED
16,YAW_RIGHT,35.9819766437442,14.9965983323498,0.56,12.9667932401861,3.56981651425863,35.9819766437442,0.360369119478057,BETA_LIMITED
16,YAW_LEFT,35.9819766437442,14.9965983323498,0.56,12.9667932401861,3.56981651425863,35.9819766437442,0.360369119478057,BETA_LIMITED
