"TimeUS","DesRoll","Roll","DesPitch","Pitch","DesYaw","Yaw","AEKF","ap_time_s"
"3059985","0","0.006784643","-2.85","-2.8598967","0","0.0017659505","0","3.059985"
"3099985","0","0.0068132062","-2.8899999","-2.8974524","0","0.0017362069","0","3.099985"
"3139985","0","0.006872372","-2.9099998","-2.9124522","0","7.633999","0","3.139985"
"3179985","0","0.007035537","-2.9299998","-2.9338431","0","7.633926","0","3.179985"
"3219985","0","0.0069527724","-2.9299998","-2.9336731","0","7.6343403","0","3.219985"
"3259985","0","0.0069814003","-2.9099998","-2.9104114","0","7.634044","0","3.259985"
"3299985","0","0.0071656182","-2.86","-2.8670397","0","7.6339707","0","3.299985"
"3359984","0","0.010443864","0.65","-2.7727902","0","7.633645","0","3.359984"
"3399984","0","0.0122944","0.71","-2.6839154","0","7.633377","0","3.399984"
"3439984","0","0.014692933","0.71999997","-2.4901245","0","7.633331","0","3.439984"
"3479984","0","0.017141001","0.71999997","-2.1596568","0","7.632882","0","3.479984"
"3519984","0","0.019023554","0.77","-1.7125478","0","7.6323442","0","3.519984"
"3559984","0","0.019334808","0.77","-1.173469","0","7.631814","0","3.559984"
"3599984","0","0.019894674","0.77","-0.5935511","0","7.631017","0","3.599984"
"3639984","0","0.020261243","0.77","-0.014800449","0","7.62991","0","3.639984"
"3679984","0","0.020911964","0.77","0.52053785","0","7.628556","0","3.679984"
"3719984","0","0.021045387","0.81","0.9747979","0","7.627593","0","3.719984"
"3759984","0","0.02123225","0.81","1.3209231","0","7.6265955","0","3.759984"
"3799984","0","0.021584364","0.81","1.540383","0","7.625898","0","3.799984"
"3859983","0","0.021520128","0.77","1.6237516","0","7.6243596","0","3.859983"
"3899983","0","0.02117433","0.77","1.5300857","0","7.6237636","0","3.899983"
"3939983","0","0.021161346","0.77","1.3403862","0","7.623188","0","3.939983"
"3979983","0","0.020988438","0.77","1.0753657","0","7.622664","0","3.979983"
"4019983","0","0.021357728","0.71999997","0.7658468","0","7.62284","0","4.019983"
"4079981","0","0.021630533","0.71999997","0.30120388","0","7.6228204","0","4.079981"
"4139979","0","0.02158401","0.77","-0.06865879","0","7.623296","0","4.139979"
"4199978","0","0.022003615","0.77","-0.2660707","0","7.6240573","0","4.199978"
"4239978","0","0.021827724","0.71999997","-0.29571608","0","7.6245775","0","4.239978"
"4279978","0","0.022137105","0.71999997","-0.23241562","0","7.624621","0","4.279978"
"4319978","0","0.022128806","0.71999997","-0.08752923","0","7.6245575","0","4.319978"
"4359978","0","0.022339985","0.71999997","0.11822667","0","7.6241155","0","4.359978"
"4399978","0","0.02274564","0.71999997","0.35974136","0","7.623261","0","4.399978"
"4439978","0","0.022634966","0.71999997","0.6112882","0","7.622851","0","4.439978"
"4479978","0","0.022421582","0.71999997","0.847197","0","7.6220956","0","4.479978"
"4519978","0","0.022309395","0.71999997","1.0446506","0","7.6213374","0","4.519978"
"4559978","0","0.022123845","0.71999997","1.1866634","0","7.620479","0","4.559978"
"4599978","0","0.021999199","0.71999997","1.2643387","0","7.619581","0","4.599978"
"4639978","0","0.022123422","0.71999997","1.2759287","0","7.618904","0","4.639978"
"4679978","0","0.022283474","0.71999997","1.2303308","0","7.6186247","0","4.679978"
"4719978","0","0.02208466","0.66999996","1.132332","0","7.6179237","0","4.719978"
"4759978","0","0.02227231","0.66999996","0.99457145","0","7.6174054","0","4.759978"
"4799978","0","0.022357598","0.66999996","0.83296555","0","7.6172714","0","4.799978"
"4839978","0","0.022222904","0.66999996","0.66264176","0","7.6171007","0","4.839978"
"4879978","0","0.022008039","0.66999996","0.49775246","0","7.6169505","0","4.879978"
"4919978","0","0.021899942","0.61","0.35104775","0","7.617083","0","4.919978"
"4959978","0","0.022020651","0.61","0.23488908","0","7.6167703","0","4.959978"
"4999978","0","0.02203643","0.61","0.15627496","0","7.616633","0","4.999978"
"5039978","14.049999","0.022116411","0.61","0.11938806","0","7.6164923","0","5.039978"
"5079978","14.049999","0.030667564","0.61","0.123875536","0","7.616108","0","5.079978"
"5119978","14.049999","0.13371012","0.61","0.16595289","0","7.6121855","0","5.119978"
"5159978","14.049999","0.4034399","0.61","0.24030867","0","7.593764","0","5.159978"
"5199978","14.049999","0.8390397","0.61","0.33813706","0","7.546518","0","5.199978"
"5239978","14.049999","1.399523","0.61","0.44838294","0","7.4580717","0","5.239978"
"5279978","14.049999","2.03475","0.61","0.5603229","0","7.329191","0","5.279978"
"5319978","14.049999","2.702315","0.61","0.66598827","0","7.151574","0","5.319978"
"5359978","14.049999","3.3675842","0.61","0.7563634","0","6.931559","0","5.359978"
"5399978","14.049999","4.007825","0.57","0.8242611","0","6.677259","0","5.399978"
"5439978","14.049999","4.6084905","0.57","0.86802524","0","6.396866","0","5.439978"
"5479978","14.049999","5.162627","0.57","0.8876731","0","6.1041565","0","5.479978"
"5519978","14.049999","5.6667414","0.57","0.8846763","0","5.8127003","0","5.519978"
"5559978","14.049999","6.1159844","0.57","0.8641061","0","5.536243","0","5.559978"
