"TimeUS","Name","Value","Default","ap_time_s"
"3059985","BARO1_WCF_ENABLE","0","0","3.059985"
"3059985","BARO2_WCF_ENABLE","0","0","3.059985"
"3059985","BARO3_WCF_ENABLE","0","0","3.059985"
"3059985","BARO_FIELD_ELV","0","0","3.059985"
"3059985","BARO_ALTERR_MAX","2000","2000","3.059985"
"3059985","BARO_OPTIONS","0","0","3.059985"
"3059985","GPS_NAVFILTER","8","8","3.059985"
"3059985","GPS_AUTO_SWITCH","1","1","3.059985"
"3059985","GPS_SBAS_MODE","2","2","3.059985"
"3059985","GPS_MIN_ELEV","-100","-100","3.059985"
"3059985","GPS_INJECT_TO","127","127","3.059985"
"3059985","GPS_SBP_LOGMASK","-256","-256","3.059985"
"3059985","GPS_RAW_DATA","0","0","3.059985"
"3059985","GPS_SAVE_CFG","2","2","3.059985"
"3059985","GPS_AUTO_CONFIG","1","1","3.059985"
"3059985","GPS_BLEND_MASK","5","5","3.059985"
"3059985","GPS_DRV_OPTIONS","0","0","3.059985"
"3059985","GPS_PRIMARY","0","0","3.059985"
"3059985","GPS1_TYPE","1","1","3.059985"
"3059985","GPS1_GNSS_MODE","0","0","3.059985"
"3059985","GPS1_RATE_MS","200","200","3.059985"
"3059985","GPS1_POS_X","0","0","3.059985"
"3059985","GPS1_POS_Y","0","0","3.059985"
"3059985","GPS1_POS_Z","0","0","3.059985"
"3059985","GPS1_DELAY_MS","0","0","3.059985"
"3059985","GPS1_COM_PORT","1","1","3.059985"
"3059985","GPS1_MB_TYPE","0","0","3.059985"
"3059985","GPS1_CAN_NODEID","0","0","3.059985"
"3059985","GPS1_CAN_OVRIDE","0","0","3.059985"
"3059985","GPS2_TYPE","0","0","3.059985"
"3059985","CAM_MAX_ROLL","0","0","3.059985"
"3059985","CAM_AUTO_ONLY","0","0","3.059985"
"3059985","CAM1_TYPE","0","0","3.059985"
"3059985","CAM2_TYPE","0","0","3.059985"
"3059985","ARMING_REQUIRE","0","0","3.059985"
"3059985","ARMING_ACCTHRESH","0.75","0.75","3.059985"
"3059985","ARMING_RUDDER","1","1","3.059985"
"3059985","ARMING_MIS_ITEMS","0","0","3.059985"
"3059985","ARMING_OPTIONS","0","0","3.059985"
"3059985","ARMING_MAGTHRESH","100","100","3.059985"
"3059985","ARMING_SKIPCHK","0","0","3.059985"
"3059985","RELAY1_FUNCTION","1","0","3.059985"
"3059985","RELAY1_PIN","13","13","3.059985"
"3059985","RELAY1_DEFAULT","0","0","3.059985"
"3059985","RELAY1_INVERTED","0","0","3.059985"
"3059985","RELAY2_FUNCTION","0","0","3.059985"
"3059985","RELAY3_FUNCTION","0","0","3.059985"
"3059985","RELAY4_FUNCTION","0","0","3.059985"
"3059985","RELAY5_FUNCTION","0","0","3.059985"
"3059985","RELAY6_FUNCTION","0","0","3.059985"
"3059985","CHUTE_ENABLED","0","0","3.059985"
"3059985","RNGFND1_TYPE","0","0","3.059985"
"3059985","RNGFND2_TYPE","0","0","3.059985"
"3059985","RNGFND3_TYPE","0","0","3.059985"
"3059985","RNGFND4_TYPE","0","0","3.059985"
"3059985","RNGFND5_TYPE","0","0","3.059985"
"3059985","RNGFND6_TYPE","0","0","3.059985"
"3059985","RNGFND7_TYPE","0","0","3.059985"
"3059985","RNGFND8_TYPE","0","0","3.059985"
"3059985","RNGFND9_TYPE","0","0","3.059985"
"3059985","RNGFNDA_TYPE","0","0","3.059985"
"3059985","RNGFND_LANDING","0","0","3.059985"
"3059985","TERRAIN_ENABLE","1","1","3.059985"
"3059985","TERRAIN_SPACING","100","100","3.059985"
"3059985","TERRAIN_OPTIONS","0","0","3.059985"
"3059985","TERRAIN_MARGIN","0.05","0.05","3.059985"
"3059985","TERRAIN_OFS_MAX","30","30","3.059985"
"3059985","TERRAIN_CACHE_SZ","12","12","3.059985"
"3059985","ADSB_TYPE","0","0","3.059985"
"3059985","AVD_ENABLE","0","0","3.059985"
"3059985","Q_ENABLE","0","0","3.059985"
"3059985","TUNE_PARAM","0","0","3.059985"
"3059985","TUNE_CHAN","0","0","3.059985"
"3059985","TUNE_CHAN_MIN","1000","1000","3.059985"
"3059985","TUNE_CHAN_MAX","2000","2000","3.059985"
"3059985","TUNE_SELECTOR","0","0","3.059985"
"3059985","TUNE_RANGE","2","2","3.059985"
"3059985","TUNE_MODE_REVERT","1","1","3.059985"
"3059985","TUNE_ERR_THRESH","0.15","0.15","3.059985"
"3059985","RLL2SRV_TCONST","0.509","0.509","3.059985"
"3059985","RLL2SRV_RMAX","0","0","3.059985"
"3059985","RLL_RATE_P","0.08405","0.08405","3.059985"
"3059985","RLL_RATE_I","0.5864625","0.5864625","3.059985"
"3059985","RLL_RATE_D","0.001435","0.001435","3.059985"
