Parameter,N,Mean,Std,CV,Minimum,Maximum,Pass
RLL_RATE_FF,0,NaN,NaN,NaN,NaN,NaN,0
RLL_RATE_P,0,NaN,NaN,NaN,NaN,NaN,0
RLL_RATE_I,0,NaN,NaN,NaN,NaN,NaN,0
RLL_RATE_D,0,NaN,NaN,NaN,NaN,NaN,0
RLL2SRV_RMAX,0,NaN,NaN,NaN,NaN,NaN,0
RLL2SRV_TCONST,0,NaN,NaN,NaN,NaN,NaN,0
