Parameter,Initial,MinimumObserved,MaximumObserved,Final,NumberOfUpdates
FF,0.795000016689301,0.574387550354004,0.795000016689301,0.574387550354004,2
P,0.342162489891052,0.119756869971752,0.342162489891052,0.119756869971752,1
I,0.599749982357025,0.574387550354004,0.675750017166138,0.574387550354004,2
D,0.0240024998784065,0.0180018749088049,0.0240024998784065,0.0180018749088049,1
RMAX,55,30,55,30,2
TAU,0.46000000834465,0.46000000834465,0.608349978923798,0.608349978923798,2
