mavpackettype,TimeUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,ap_time_s
RCIN,2199998,1500,1500,1453,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.199998
RCIN,2239998,1500,1500,1454,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.239998
RCIN,2279998,1500,1500,1453,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.279998
RCIN,2319998,1500,1500,1451,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.319998
RCIN,2359998,1500,1500,1448,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.359998
RCIN,2399998,1500,1500,1446,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.399998
RCIN,2439998,1500,1500,1444,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.439998
RCIN,2479998,1500,1500,1442,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.479998
RCIN,2519998,1500,1500,1440,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.519998
RCIN,2559998,1500,1500,1438,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.559998
RCIN,2599998,1500,1500,1436,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.599998
RCIN,2639998,1500,1500,1434,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.639998
RCIN,2679998,1500,1500,1432,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.679998
RCIN,2719998,1500,1500,1430,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.719998
RCIN,2759998,1500,1500,1428,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.759998
RCIN,2799998,1500,1500,1426,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.799998
RCIN,2839998,1500,1500,1424,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.839998
RCIN,2879998,1500,1500,1422,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.879998
RCIN,2919998,1500,1500,1420,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.919998
RCIN,2959998,1500,1500,1418,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.959998
RCIN,2999998,1500,1500,1416,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.999998
RCIN,3039998,1500,1500,1415,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.039998
RCIN,3079998,1500,1500,1413,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.079998
RCIN,3119998,1500,1500,1411,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.119998
RCIN,3159998,1500,1500,1409,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.159998
