mavpackettype,TimeUS,NavRoll,Roll,NavPitch,Pitch,ThO,RdO,ThD,As,AsT,E2T,GU,ap_time_s
CTUN,2199998,4.74,4.74,-6.38,-6.38,0.0,0.0,0.0,0.0,2,0.9999824166297913,0,2.199998
CTUN,2239998,4.83,4.83,-6.5,-6.5,45.29999923706055,0.0,0.0,0.0,2,0.9999824166297913,0,2.239998
CTUN,2279998,4.87,4.87,-6.55,-6.55,45.400001525878906,0.0,0.0,12.507254600524902,1,0.9999964237213135,0,2.279998
CTUN,2319998,4.94,4.94,-6.65,-6.65,45.20000076293945,0.0,0.0,12.507254600524902,1,0.9999964237213135,0,2.319998
CTUN,2359998,5.01,5.01,-6.75,-6.75,44.900001525878906,0.0,0.0,12.507254600524902,1,0.9999964237213135,0,2.359998
CTUN,2399998,5.08,5.08,-6.85,-6.85,44.70000076293945,0.0,0.0,12.516435623168945,1,0.9999958276748657,0,2.399998
CTUN,2439998,5.15,5.15,-6.95,-6.95,44.5,0.0,0.0,12.516435623168945,1,0.9999958276748657,0,2.439998
CTUN,2479998,5.25,5.25,-7.55,-7.55,44.29999923706055,0.0,0.0,12.537836074829102,1,0.999998152256012,0,2.479998
CTUN,2519998,5.36,5.36,-8.14,-8.14,44.099998474121094,0.0,0.0,12.537836074829102,1,0.999998152256012,0,2.519998
CTUN,2559998,5.46,5.46,-8.73,-8.73,43.900001525878906,0.0,0.0,12.537836074829102,1,0.999998152256012,0,2.559998
CTUN,2599998,5.57,5.57,-9.32,-9.32,43.70000076293945,0.0,0.0,12.566024780273438,1,0.9999852180480957,0,2.599998
CTUN,2639998,5.67,5.67,-9.9,-9.9,43.5,0.0,0.0,12.566024780273438,1,0.9999852180480957,0,2.639998
CTUN,2679998,5.77,5.77,-10.22,-10.22,43.29999923706055,0.0,0.0,12.599069595336914,1,0.99998539686203,0,2.679998
CTUN,2719998,5.85,5.85,-10.27,-10.27,43.099998474121094,0.0,0.0,12.599069595336914,1,0.99998539686203,0,2.719998
