Time_s,Axis,Event,State,Action,Surface_deg,P_slew,D_slew,FF_single,FF,P,I,D,RMAX,TAU
5.439988,roll,ATRP_LOG_START,IDLE,NONE,-0.106982320547104,0.0159893557429314,0.000328434776747599,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,55,0.585349977016449
10.119988,roll,POSITIVE_EXCITATION_START,DEMAND_POS,NONE,1.47013199329376,1.14987826347351,0.608856081962585,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,55,0.585349977016449
10.879988,roll,EXCITATION_END,IDLE,NONE,1.57750236988068,4.89446210861206,2.37898445129395,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,55,0.585349977016449
10.919988,roll,LOWER_PD;PARAMETER_UPDATE,IDLE,LOWER_PD,1.45991945266724,4.90867137908936,2.09177470207214,0.387601673603058,0.336000025272369,0.0294174998998642,0.0294174998998642,0.0010762499878183,35,0.673152446746826
11.879988,roll,NEGATIVE_EXCITATION_START,DEMAND_NEG,LOWER_PD,-1.66522693634033,5.68318510055542,2.09177470207214,0.387601673603058,0.336000025272369,0.0294174998998642,0.0294174998998642,0.0010762499878183,35,0.673152446746826
14.759988,roll,EXCITATION_END;PARAMETER_UPDATE,IDLE,LOWER_PD,-2.61969780921936,1,1,0.894604325294495,0.376320034265518,0.0294174998998642,0.0294174998998642,0.0010762499878183,30,0.774125277996063
15.879988,roll,POSITIVE_EXCITATION_START,DEMAND_POS,LOWER_PD,1.82043445110321,1.33346796035767,1.30386126041412,0.894604325294495,0.376320034265518,0.0294174998998642,0.0294174998998642,0.0010762499878183,30,0.774125277996063
17.079988,roll,EXCITATION_END;PARAMETER_UPDATE,IDLE,LOWER_PD,1.52734231948853,1,1,0.474698752164841,0.421478450298309,0.0294174998998642,0.0294174998998642,0.0010762499878183,30,0.89024406671524
17.719988,roll,NEGATIVE_EXCITATION_START,DEMAND_NEG,LOWER_PD,-1.0504424571991,1,1,0.474698752164841,0.421478450298309,0.0294174998998642,0.0294174998998642,0.0010762499878183,30,0.89024406671524
20.479988,roll,EXCITATION_END,IDLE,LOWER_PD,-2.37855195999146,1,1,0.474698752164841,0.421478450298309,0.0294174998998642,0.0294174998998642,0.0010762499878183,30,0.89024406671524
20.519988,roll,RAISE_D;PARAMETER_UPDATE,IDLE,RAISE_D,-1.98851501941681,1,1,0.821440517902374,0.472055852413177,0.0147087499499321,0.0147087499499321,0.00139912497252226,30,0.899999976158142
21.639988,roll,POSITIVE_EXCITATION_START,DEMAND_POS,RAISE_D,2.31847643852234,1,1,0.821440517902374,0.472055852413177,0.0147087499499321,0.0147087499499321,0.00139912497252226,30,0.899999976158142
22.879988,roll,EXCITATION_END,IDLE,RAISE_D,1.90445601940155,1,1.02583539485931,0.821440517902374,0.472055852413177,0.0147087499499321,0.0147087499499321,0.00139912497252226,30,0.899999976158142
22.919988,roll,PARAMETER_UPDATE,IDLE,RAISE_D,1.77082896232605,1,1,0.500140488147736,0.500140488147736,0.0147087499499321,0.0147087499499321,0.00181886239442974,30,0.899999976158142
23.479988,roll,NEGATIVE_EXCITATION_START,DEMAND_NEG,RAISE_D,-0.805328786373138,1,1,0.500140488147736,0.500140488147736,0.0147087499499321,0.0147087499499321,0.00181886239442974,30,0.899999976158142
