Parameter,Initial,MinimumObserved,MaximumObserved,Final,NumberOfUpdates
FF,0.300000011920929,0.300000011920929,0.500140488147736,0.500140488147736,5
P,0.0840499997138977,0.0147087499499321,0.0840499997138977,0.0147087499499321,2
I,0.586462497711182,0.0147087499499321,0.586462497711182,0.0147087499499321,2
D,0.00143499998375773,0.0010762499878183,0.00181886239442974,0.00181886239442974,3
RMAX,55,30,55,30,2
TAU,0.585349977016449,0.585349977016449,0.899999976158142,0.899999976158142,4
