mavpackettype,TimeUS,Axis,State,Sur,PSlew,DSlew,FF0,FF,P,I,D,Action,RMAX,TAU,ap_time_s
ATRP,5439988,0,0,-0.10698232054710388,0.015989355742931366,0.00032843477674759924,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,5.439988
ATRP,5479988,0,0,-0.1062740832567215,0.04607492685317993,0.0009747898438945413,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,5.479988
ATRP,5519988,0,0,-0.10517173260450363,0.07405770570039749,0.001674097846262157,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,5.519988
ATRP,5559988,0,0,-0.10399489104747772,0.099933922290802,0.002324081491678953,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,5.559988
ATRP,5599988,0,0,-0.10289929062128067,0.12378145754337311,0.002923106774687767,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,5.599988
ATRP,5639988,0,0,-0.10147769749164581,0.14595119655132294,0.003475168254226446,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,5.639988
ATRP,5679988,0,0,-0.09995223581790924,0.1663828194141388,0.003983947914093733,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,5.679988
ATRP,5719988,0,0,-0.09852436929941177,0.1852126121520996,0.004452839493751526,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,5.719988
ATRP,5759988,0,0,-0.0972512811422348,0.20224636793136597,0.004878401290625334,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,5.759988
ATRP,5799988,0,0,-0.09615889936685562,0.21671631932258606,0.00524536706507206,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,5.799988
ATRP,5839988,0,0,-0.09523534774780273,0.22887209057807922,0.005557927303016186,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,5.839988
ATRP,5879988,0,0,-0.09446447342634201,0.23894184827804565,0.0058173201978206635,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,5.879988
ATRP,5919988,0,0,-0.09383786469697952,0.2471340000629425,0.006028849631547928,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,5.919988
ATRP,5959988,0,0,-0.09287387132644653,0.25362277030944824,0.006197358015924692,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,5.959988
ATRP,5999988,0,0,-0.0917694941163063,0.2585785984992981,0.006327264942228794,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,5.999988
ATRP,6039988,0,0,-0.09070517122745514,0.2621622383594513,0.006422602105885744,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,6.039988
ATRP,6079988,0,0,-0.08974752575159073,0.26452022790908813,0.0064870454370975494,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,6.079988
ATRP,6119988,0,0,-0.08891939371824265,0.2657860517501831,0.006523944903165102,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,6.119988
ATRP,6159988,0,0,-0.08821580559015274,0.2660812735557556,0.00653635011985898,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,6.159988
ATRP,6199988,0,0,-0.08763566613197327,0.2660812735557556,0.00653635011985898,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,6.199988
ATRP,6239988,0,0,-0.08715502172708511,0.2660812735557556,0.00653635011985898,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,6.239988
ATRP,6279988,0,0,-0.08675824105739594,0.2660812735557556,0.00653635011985898,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,6.279988
ATRP,6319988,0,0,-0.08643779158592224,0.2660812735557556,0.00653635011985898,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,6.319988
ATRP,6359988,0,0,-0.0861743837594986,0.2660812735557556,0.00653635011985898,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,6.359988
ATRP,6399988,0,0,-0.08596324175596237,0.2660812735557556,0.00653635011985898,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,6.399988
ATRP,6439988,0,0,-0.08561971038579941,0.2660812735557556,0.00653635011985898,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,6.439988
ATRP,6479988,0,0,-0.08487707376480103,0.2660812735557556,0.00653635011985898,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,6.479988
ATRP,6519988,0,0,-0.08404882252216339,0.2660812735557556,0.00653635011985898,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,6.519988
ATRP,6559988,0,0,-0.08325470983982086,0.2660812735557556,0.00653635011985898,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,6.559988
ATRP,6599988,0,0,-0.08254698663949966,0.2660812735557556,0.00653635011985898,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,6.599988
ATRP,6639988,0,0,-0.08193546533584595,0.2660812735557556,0.00653635011985898,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,6.639988
ATRP,6679988,0,0,-0.08141618221998215,0.2660812735557556,0.00653635011985898,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,6.679988
ATRP,6719988,0,0,-0.08098803460597992,0.2660812735557556,0.00653635011985898,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,6.719988
ATRP,6759988,0,0,-0.08063549548387527,0.2660812735557556,0.00653635011985898,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,6.759988
ATRP,6799988,0,0,-0.08016970008611679,0.2660812735557556,0.00653635011985898,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,6.799988
ATRP,6839988,0,0,-0.07931621372699738,0.2660812735557556,0.00653635011985898,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,6.839988
ATRP,6879988,0,0,-0.07837910205125809,0.2660812735557556,0.00653635011985898,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,6.879988
ATRP,6919988,0,0,-0.07748255133628845,0.2660812735557556,0.00653635011985898,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,6.919988
ATRP,6959988,0,0,-0.07667034864425659,0.2660812735557556,0.00653635011985898,0.0,0.30000001192092896,0.0840499997138977,0.5864624977111816,0.0014349999837577343,0,55.0,0.585349977016449,6.959988
