Parameter,Initial,MinimumObserved,MaximumObserved,Final,NumberOfUpdates
FF,0.300000011920929,0.300000011920929,0.336000025272369,0.336000025272369,1
P,0.0840499997138977,0.0294174998998642,0.0840499997138977,0.0294174998998642,1
I,0.586462497711182,0.0294174998998642,0.586462497711182,0.0294174998998642,1
D,0.00143499998375773,0.0010762499878183,0.00143499998375773,0.0010762499878183,1
RMAX,55,35,55,35,1
TAU,0.585349977016449,0.585349977016449,0.673152446746826,0.673152446746826,1
