Time_s,Axis,StateValue,State,Surface_deg,P_slew,D_slew,FF_single,FF,P,I,D,ActionValue,Action,RMAX,TAU
5.439988,roll,0,IDLE,-0.106982320547104,0.0159893557429314,0.000328434776747599,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.479988,roll,0,IDLE,-0.106274083256721,0.0460749268531799,0.000974789843894541,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.519988,roll,0,IDLE,-0.105171732604504,0.0740577057003975,0.00167409784626216,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.559988,roll,0,IDLE,-0.103994891047478,0.099933922290802,0.00232408149167895,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.599988,roll,0,IDLE,-0.102899290621281,0.123781457543373,0.00292310677468777,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.639988,roll,0,IDLE,-0.101477697491646,0.145951196551323,0.00347516825422645,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.679988,roll,0,IDLE,-0.0999522358179092,0.166382819414139,0.00398394791409373,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.719988,roll,0,IDLE,-0.0985243692994118,0.1852126121521,0.00445283949375153,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.759988,roll,0,IDLE,-0.0972512811422348,0.202246367931366,0.00487840129062533,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.799988,roll,0,IDLE,-0.0961588993668556,0.216716319322586,0.00524536706507206,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
5.839988,roll,0,IDLE,-0.0952353477478027,0.228872090578079,0.00555792730301619,0,0.300000011920929,0.0840499997138977,0.586462497711182,0.00143499998375773,0,NONE,55,0.585349977016449
